NAMESPACE              LAST SEEN   TYPE      REASON                              OBJECT                                                         MESSAGE
kube-system            74d         Warning   Unhealthy                           pod/kite-7cb79df49c-nth8h                                      Readiness probe failed: Get "http://10.42.2.140:8080/healthz": dial tcp 10.42.2.140:8080: i/o timeout (Client.Timeout exceeded while awaiting headers)
kubernetes-dashboard   74d         Warning   Unhealthy                           pod/kubernetes-dashboard-8696f5f494-js7b8                      Liveness probe failed: Get "https://10.42.2.137:8443/": net/http: TLS handshake timeout
monitoring             74d         Normal    Pulled                              pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Container image "quay.io/prometheus-operator/prometheus-operator:v0.85.0" already present on machine
kube-system            74d         Warning   Failed                              pod/kite-7cb79df49c-nth8h                                      Error: failed to sync secret cache: timed out waiting for the condition
kube-system            74d         Warning   Unhealthy                           pod/traefik-5cbdcf97f4-bbnx7                                   Readiness probe failed: Get "http://10.42.2.129:9000/ping": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Normal    Killing                             pod/traefik-5cbdcf97f4-bbnx7                                   Container traefik failed liveness probe, will be restarted
monitoring             74d         Normal    Created                             pod/monitorgrafana-prometheus-node-exporter-8dgb6              Created container: node-exporter
cyclops                74d         Normal    Killing                             pod/cyclops-ctrl-8685b986c7-tmr5r                              Container cyclops-ctrl failed liveness probe, will be restarted
monitoring             74d         Normal    Created                             pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Created container: kube-prometheus-stack
monitoring             74d         Normal    Started                             pod/monitorgrafana-prometheus-node-exporter-8dgb6              Started container node-exporter
kube-system            74d         Normal    Pulled                              pod/kite-7cb79df49c-nth8h                                      Container image "ghcr.io/zxh326/kite:latest" already present on machine
monitoring             74d         Normal    Started                             pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Started container kube-prometheus-stack
cyclops                74d         Normal    Pulled                              pod/cyclops-ctrl-8685b986c7-tmr5r                              Container image "cyclopsui/cyclops-ctrl:v0.21.1" already present on machine
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Liveness probe failed: Get "https://10.42.2.145:10250/healthz": dial tcp 10.42.2.145:10250: connect: connection refused
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Readiness probe failed: Get "https://10.42.2.145:10250/healthz": dial tcp 10.42.2.145:10250: connect: connection refused
argocd                 74d         Normal    Killing                             pod/argocd-repo-server-95c9d69c6-2vxj4                         Container argocd-repo-server failed liveness probe, will be restarted
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Liveness probe failed: Get "http://10.42.2.134:8080/livez": dial tcp 10.42.2.134:8080: connect: connection refused
argocd                 74d         Normal    Pulling                             pod/argocd-repo-server-95c9d69c6-2vxj4                         Pulling image "quay.io/argoproj/argocd:v3.1.1"
kube-system            74d         Normal    Created                             pod/traefik-5cbdcf97f4-bbnx7                                   Created container: traefik
cyclops                74d         Normal    Created                             pod/cyclops-ctrl-8685b986c7-tmr5r                              Created container: cyclops-ctrl
kube-system            74d         Normal    Created                             pod/kite-7cb79df49c-nth8h                                      Created container: kite
kube-system            74d         Normal    Started                             pod/traefik-5cbdcf97f4-bbnx7                                   Started container traefik
cyclops                74d         Normal    Started                             pod/cyclops-ctrl-8685b986c7-tmr5r                              Started container cyclops-ctrl
kube-system            74d         Normal    Started                             pod/kite-7cb79df49c-nth8h                                      Started container kite
argocd                 74d         Normal    Pulled                              pod/argocd-repo-server-95c9d69c6-2vxj4                         Successfully pulled image "quay.io/argoproj/argocd:v3.1.1" in 19.576s (19.576s including waiting). Image size: 191031950 bytes.
argocd                 74d         Normal    Created                             pod/argocd-repo-server-95c9d69c6-2vxj4                         Created container: argocd-repo-server
argocd                 74d         Normal    Started                             pod/argocd-repo-server-95c9d69c6-2vxj4                         Started container argocd-repo-server
kube-system            74d         Warning   Unhealthy                           pod/traefik-5cbdcf97f4-bbnx7                                   Liveness probe failed: Get "http://10.42.2.129:9000/ping": dial tcp 10.42.2.129:9000: connect: connection refused
kube-system            74d         Warning   Unhealthy                           pod/kite-7cb79df49c-nth8h                                      Readiness probe failed: Get "http://10.42.2.140:8080/healthz": dial tcp 10.42.2.140:8080: connect: connection refused
cyclops                74d         Warning   Unhealthy                           pod/cyclops-ctrl-8685b986c7-tmr5r                              Readiness probe failed: Get "http://10.42.2.147:8082/readyz": dial tcp 10.42.2.147:8082: connect: connection refused
kube-system            74d         Warning   Unhealthy                           pod/kite-7cb79df49c-nth8h                                      Liveness probe failed: Get "http://10.42.2.140:8080/healthz": dial tcp 10.42.2.140:8080: connect: connection refused
argocd                 74d         Warning   Unhealthy                           pod/argocd-repo-server-95c9d69c6-2vxj4                         Readiness probe failed: Get "http://10.42.2.142:8084/healthz": dial tcp 10.42.2.142:8084: connect: connection refused
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Readiness probe failed: Get "https://10.42.2.145:10250/healthz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/metrics-server-7bf7d58749-v5vbk                            Readiness probe failed: Get "https://10.42.2.124:10250/readyz": context deadline exceeded
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-677d8d6465-tktwr                            Liveness probe failed: Get "http://10.42.2.118:3000/api/health": dial tcp 10.42.2.118:3000: connect: connection refused
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-prometheus-node-exporter-8dgb6              Readiness probe failed: Get "http://192.168.0.18:9100/": dial tcp 192.168.0.18:9100: i/o timeout (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/coredns-ccb96694c-2mrz9                                    Liveness probe failed: Get "http://10.42.2.125:8080/health": dial tcp 10.42.2.125:8080: i/o timeout (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Liveness probe failed: Get "https://10.42.2.145:10250/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Liveness probe failed: HTTP probe failed with statuscode: 503
kube-system            74d         Warning   Unhealthy                           pod/traefik-5cbdcf97f4-bbnx7                                   Readiness probe failed: HTTP probe failed with statuscode: 404
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-prometheus-node-exporter-8dgb6              Liveness probe failed: Get "http://192.168.0.18:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/coredns-ccb96694c-2mrz9                                    Liveness probe failed: Get "http://10.42.2.125:8080/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/metrics-server-7bf7d58749-v5vbk                            Readiness probe failed: Get "https://10.42.2.124:10250/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/metrics-server-7bf7d58749-v5vbk                            Liveness probe failed: Get "https://10.42.2.124:10250/livez": context deadline exceeded
kube-system            74d         Warning   Unhealthy                           pod/kite-7cb79df49c-nth8h                                      Liveness probe failed: Get "http://10.42.2.140:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Liveness probe failed: Get "http://10.42.2.134:8080/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/kite-7cb79df49c-nth8h                                      Readiness probe failed: Get "http://10.42.2.140:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/metrics-server-7bf7d58749-v5vbk                            Readiness probe failed: Get "https://10.42.2.124:10250/readyz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Normal    Killing                             pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Container kube-state-metrics failed liveness probe, will be restarted
kube-system            74d         Normal    Killing                             pod/kite-7cb79df49c-nth8h                                      Container kite failed liveness probe, will be restarted
monitoring             74d         Normal    Killing                             pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Container kube-prometheus-stack failed liveness probe, will be restarted
monitoring             74d         Warning   Unhealthy                           pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Liveness probe failed: Get "http://10.42.2.126:9093/-/healthy": dial tcp 10.42.2.126:9093: i/o timeout (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Readiness probe failed: Get "https://10.42.2.145:10250/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/traefik-5cbdcf97f4-bbnx7                                   Readiness probe failed: Get "http://10.42.2.129:9000/ping": dial tcp 10.42.2.129:9000: connect: connection refused (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/metrics-server-7bf7d58749-v5vbk                            Liveness probe failed: Get "https://10.42.2.124:10250/livez": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/coredns-ccb96694c-2mrz9                                    Readiness probe failed: Get "http://10.42.2.125:8181/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
cyclops                74d         Warning   Unhealthy                           pod/cyclops-ctrl-8685b986c7-tmr5r                              Liveness probe failed: Get "http://10.42.2.147:8082/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Readiness probe failed: Get "https://10.42.2.145:10250/healthz": context deadline exceeded
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Readiness probe failed: Get "http://10.42.2.134:8081/readyz": EOF
argocd                 74d         Warning   Unhealthy                           pod/argocd-server-84477d5958-z5nwc                             Readiness probe failed: Get "http://10.42.2.144:8888/healthz": dial tcp 10.42.2.144:8888: connect: connection refused (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-677d8d6465-tktwr                            Readiness probe failed: Get "http://10.42.2.118:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Normal    Pulled                              pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.16.0" already present on machine
kube-system            74d         Normal    Pulled                              pod/traefik-5cbdcf97f4-bbnx7                                   Container image "rancher/mirrored-library-traefik:2.11.20" already present on machine
monitoring             74d         Normal    Killing                             pod/monitorgrafana-prometheus-node-exporter-8dgb6              Container node-exporter failed liveness probe, will be restarted
argocd                 74d         Warning   Unhealthy                           pod/argocd-server-84477d5958-z5nwc                             Liveness probe failed: Get "http://10.42.2.144:8888/healthz?full=true": dial tcp 10.42.2.144:8888: connect: connection refused
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-prometheus-node-exporter-8dgb6              Readiness probe failed: Get "http://192.168.0.18:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/traefik-5cbdcf97f4-bbnx7                                   Readiness probe failed: Get "http://10.42.2.129:9000/ping": dial tcp 10.42.2.129:9000: connect: connection refused
monitoring             74d         Normal    Pulled                              pod/monitorgrafana-prometheus-node-exporter-8dgb6              Container image "quay.io/prometheus/node-exporter:v1.9.1" already present on machine
pauhome                74d         Warning   FailedGetResourceMetric             horizontalpodautoscaler/web-hpa                                failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
pauhome                74d         Warning   FailedComputeMetricsReplicas        horizontalpodautoscaler/web-hpa                                invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
default                74d         Normal    CertificateExpirationOK             node/debianworker1                                             Node and Certificate Authority certificates managed by k3s are OK
default                74d         Warning   PossibleMemoryBackedVolumesOnDisk   node/debianworker1                                             The tmpfs noswap option is not supported. Memory-backed volumes (e.g. secrets, emptyDirs, etc.) might be swapped to disk and should no longer be considered secure.
default                74d         Normal    NodeAllocatableEnforced             node/debianworker1                                             Updated Node Allocatable limit across pods
default                74d         Normal    Starting                            node/debianworker1                                             Starting kubelet.
default                74d         Warning   InvalidDiskCapacity                 node/debianworker1                                             invalid capacity 0 on image filesystem
argocd                 74d         Normal    UpdatedLoadBalancer                 service/argocd-server                                          Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.24 192.168.0.25] -> [192.168.0.18 192.168.0.25]
kube-system            74d         Normal    UpdatedLoadBalancer                 service/traefik                                                Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.24 192.168.0.25] -> [192.168.0.18 192.168.0.25]
default                74d         Normal    NodeHasSufficientPID                node/debianworker1                                             Node debianworker1 status is now: NodeHasSufficientPID
default                74d         Normal    NodeHasSufficientMemory             node/debianworker1                                             Node debianworker1 status is now: NodeHasSufficientMemory
default                74d         Normal    NodeHasNoDiskPressure               node/debianworker1                                             Node debianworker1 status is now: NodeHasNoDiskPressure
argocd                 74d         Normal    UpdatedLoadBalancer                 service/argocd-server                                          Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.25] -> [192.168.0.18 192.168.0.24 192.168.0.25]
kube-system            74d         Normal    UpdatedLoadBalancer                 service/traefik                                                Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.25] -> [192.168.0.18 192.168.0.24 192.168.0.25]
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-prometheus-node-exporter-8dgb6              Readiness probe failed: Get "http://192.168.0.18:9100/": dial tcp 192.168.0.18:9100: connect: connection refused
monitoring             74d         Normal    Created                             pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Created container: kube-state-metrics
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Readiness probe failed: Get "http://10.42.2.134:8081/readyz": dial tcp 10.42.2.134:8081: connect: connection refused
monitoring             74d         Normal    Started                             pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Started container kube-state-metrics
cyclops                74d         Warning   Unhealthy                           pod/cyclops-ctrl-8685b986c7-tmr5r                              Readiness probe failed: Get "http://10.42.2.147:8082/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kubernetes-dashboard   74d         Warning   Unhealthy                           pod/kubernetes-dashboard-8696f5f494-js7b8                      Liveness probe failed: Get "https://10.42.2.137:8443/": context deadline exceeded
argocd                 74d         Warning   Unhealthy                           pod/argocd-repo-server-95c9d69c6-2vxj4                         Liveness probe failed: Get "http://10.42.2.142:8084/healthz?full=true": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
argocd                 74d         Warning   Unhealthy                           pod/argocd-server-84477d5958-z5nwc                             Readiness probe failed: Get "http://10.42.2.144:8888/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
argocd                 74d         Warning   Unhealthy                           pod/argocd-repo-server-95c9d69c6-2vxj4                         Readiness probe failed: Get "http://10.42.2.142:8084/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kubernetes-dashboard   74d         Warning   Unhealthy                           pod/kubernetes-dashboard-8696f5f494-js7b8                      Liveness probe failed: Get "https://10.42.2.137:8443/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
cyclops                74d         Warning   FailedToUpdateEndpoint              endpoints/cyclops-ctrl                                         Failed to update endpoint cyclops/cyclops-ctrl: Put "https://127.0.0.1:6444/api/v1/namespaces/cyclops/endpoints/cyclops-ctrl": http2: client connection lost
argocd                 74d         Warning   Unhealthy                           pod/argocd-notifications-controller-b9986964f-llxlm            Liveness probe failed: dial tcp 10.42.2.130:9001: i/o timeout
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Readiness probe failed: Get "http://10.42.2.134:8081/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
cyclops                74d         Warning   FailedToUpdateEndpointSlices        service/cyclops-ctrl                                           Error updating Endpoint Slices for Service cyclops/cyclops-ctrl: failed to update cyclops-ctrl-phfph EndpointSlice for Service cyclops/cyclops-ctrl: Put "https://127.0.0.1:6444/apis/discovery.k8s.io/v1/namespaces/cyclops/endpointslices/cyclops-ctrl-phfph": http2: client connection lost
kubernetes-dashboard   74d         Warning   Unhealthy                           pod/kubernetes-dashboard-8696f5f494-js7b8                      Liveness probe failed: Get "https://10.42.2.137:8443/": dial tcp 10.42.2.137:8443: connect: connection refused
monitoring             74d         Warning   Unhealthy                           pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Readiness probe failed: Get "http://10.42.2.126:9093/-/ready": dial tcp 10.42.2.126:9093: i/o timeout (Client.Timeout exceeded while awaiting headers)
default                74d         Normal    NodeNotReady                        node/debianmaster                                              Node debianmaster status is now: NodeNotReady
default                74d         Normal    NodeNotReady                        node/debianworker1                                             Node debianworker1 status is now: NodeNotReady
monitoring             74d         Warning   Unhealthy                           pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Readiness probe failed: Get "http://10.42.2.126:9093/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
monitoring             74d         Warning   Unhealthy                           pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Liveness probe failed: Get "http://10.42.2.126:9093/-/healthy": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
default                74d         Normal    NodeHasSufficientPID                node/debianmaster                                              Node debianmaster status is now: NodeHasSufficientPID
monitoring             74d         Warning   NodeNotReady                        pod/monitorgrafana-prometheus-node-exporter-2hhbs              Node is not ready
default                74d         Normal    NodeHasSufficientMemory             node/debianmaster                                              Node debianmaster status is now: NodeHasSufficientMemory
default                74d         Normal    NodeHasNoDiskPressure               node/debianmaster                                              Node debianmaster status is now: NodeHasNoDiskPressure
argocd                 74d         Normal    UpdatedLoadBalancer                 service/argocd-server                                          Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.24 192.168.0.25] -> [192.168.0.18 192.168.0.24 192.168.0.25]
cyclops                74d         Warning   FailedToUpdateEndpoint              endpoints/cyclops-ctrl                                         Failed to update endpoint cyclops/cyclops-ctrl: Operation cannot be fulfilled on endpoints "cyclops-ctrl": the object has been modified; please apply your changes to the latest version and try again
cyclops                74d         Warning   NodeNotReady                        pod/cyclops-ui-97ffc847c-qz262                                 Node is not ready
kube-system            74d         Normal    UpdatedLoadBalancer                 service/traefik                                                Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.24 192.168.0.25] -> [192.168.0.18 192.168.0.24 192.168.0.25]
kube-system            74d         Warning   NodeNotReady                        pod/svclb-argocd-server-28f86d56-qr66h                         Node is not ready
kube-system            74d         Warning   NodeNotReady                        pod/svclb-traefik-cd2bf767-68vkn                               Node is not ready
monitoring             74d         Warning   NodeNotReady                        pod/loki-promtail-9g6nk                                        Node is not ready
kube-system            74d         Warning   NodeNotReady                        pod/svclb-argocd-server-28f86d56-4jt9k                         Node is not ready
pauhome                74d         Warning   NodeNotReady                        pod/web-595c7c58b5-vpjgw                                       Node is not ready
default                74d         Warning   NodeNotReady                        pod/testnet                                                    Node is not ready
kubernetes-dashboard   74d         Warning   NodeNotReady                        pod/kubernetes-dashboard-8696f5f494-js7b8                      Node is not ready
argocd                 74d         Normal    Killing                             pod/argocd-notifications-controller-b9986964f-llxlm            Container argocd-notifications-controller failed liveness probe, will be restarted
pauhome                74d         Warning   NodeNotReady                        pod/web-595c7c58b5-n4kjr                                       Node is not ready
pauhome                74d         Warning   NodeNotReady                        pod/web-595c7c58b5-zrmcp                                       Node is not ready
argocd                 74d         Normal    Pulling                             pod/argocd-notifications-controller-b9986964f-llxlm            Pulling image "quay.io/argoproj/argocd:v3.1.1"
argocd                 74d         Normal    Pulled                              pod/argocd-notifications-controller-b9986964f-llxlm            Successfully pulled image "quay.io/argoproj/argocd:v3.1.1" in 2.075s (2.075s including waiting). Image size: 191031950 bytes.
argocd                 74d         Normal    Started                             pod/argocd-notifications-controller-b9986964f-llxlm            Started container argocd-notifications-controller
argocd                 74d         Normal    Created                             pod/argocd-notifications-controller-b9986964f-llxlm            Created container: argocd-notifications-controller
default                74d         Warning   NodeNotReady                        pod/hello-world-795988dcf6-gjhr9                               Node is not ready
kube-system            74d         Warning   NodeNotReady                        pod/coredns-ccb96694c-2mrz9                                    Node is not ready
argocd                 74d         Warning   NodeNotReady                        pod/argocd-dex-server-55bdf84957-lbcgk                         Node is not ready
monitoring             74d         Warning   Unhealthy                           pod/loki-promtail-5dr6s                                        Readiness probe failed: Get "http://10.42.2.139:3101/ready": dial tcp 10.42.2.139:3101: i/o timeout (Client.Timeout exceeded while awaiting headers)
argocd                 74d         Warning   FailedToUpdateEndpoint              endpoints/argocd-notifications-controller-metrics              Failed to update endpoint argocd/argocd-notifications-controller-metrics: Put "https://127.0.0.1:6444/api/v1/namespaces/argocd/endpoints/argocd-notifications-controller-metrics": http2: client connection lost
argocd                 74d         Warning   FailedToUpdateEndpointSlices        service/argocd-notifications-controller-metrics                Error updating Endpoint Slices for Service argocd/argocd-notifications-controller-metrics: failed to update argocd-notifications-controller-metrics-t92rr EndpointSlice for Service argocd/argocd-notifications-controller-metrics: Put "https://127.0.0.1:6444/apis/discovery.k8s.io/v1/namespaces/argocd/endpointslices/argocd-notifications-controller-metrics-t92rr": http2: client connection lost
kubernetes-dashboard   74d         Warning   Unhealthy                           pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 Liveness probe failed: Get "http://10.42.2.119:8000/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/headlamp-666485dd85-hpxln                                  Liveness probe failed: Get "http://10.42.2.135:4466/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system            74d         Warning   Unhealthy                           pod/headlamp-666485dd85-hpxln                                  Readiness probe failed: Get "http://10.42.2.135:4466/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
default                74d         Normal    NodeNotReady                        node/debianmaster                                              Node debianmaster status is now: NodeNotReady
default                74d         Warning   ContainerGCFailed                   node/debianmaster                                              rpc error: code = DeadlineExceeded desc = context deadline exceeded
pauhome                74d         Warning   NodeNotReady                        pod/web-595c7c58b5-mcb6x                                       Node is not ready
kubernetes-dashboard   74d         Warning   NodeNotReady                        pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 Node is not ready
argocd                 74d         Warning   FailedToUpdateEndpoint              endpoints/argocd-notifications-controller-metrics              Failed to update endpoint argocd/argocd-notifications-controller-metrics: Operation cannot be fulfilled on endpoints "argocd-notifications-controller-metrics": the object has been modified; please apply your changes to the latest version and try again
pauhome                74d         Warning   FailedComputeMetricsReplicas        horizontalpodautoscaler/web-hpa                                invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
argocd                 74d         Warning   NodeNotReady                        pod/argocd-redis-65b9d6c547-xqlsp                              Node is not ready
argocd                 74d         Warning   NodeNotReady                        pod/argocd-applicationset-controller-75c59fc666-bkzbt          Node is not ready
pauhome                74d         Warning   FailedGetResourceMetric             horizontalpodautoscaler/web-hpa                                failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
kube-system            74d         Normal    Killing                             pod/headlamp-666485dd85-hpxln                                  Container headlamp failed liveness probe, will be restarted
kube-system            74d         Warning   NodeNotReady                        pod/svclb-traefik-cd2bf767-2k6jc                               Node is not ready
kube-system            74d         Normal    Pulling                             pod/headlamp-666485dd85-hpxln                                  Pulling image "ghcr.io/headlamp-k8s/headlamp:latest"
argocd                 74d         Normal    UpdatedLoadBalancer                 service/argocd-server                                          Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.24 192.168.0.25] -> [192.168.0.25]
kube-system            74d         Normal    UpdatedLoadBalancer                 service/traefik                                                Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.24 192.168.0.25] -> [192.168.0.25]
kube-system            74d         Normal    Pulled                              pod/headlamp-666485dd85-hpxln                                  Successfully pulled image "ghcr.io/headlamp-k8s/headlamp:latest" in 2.461s (2.469s including waiting). Image size: 98075925 bytes.
kube-system            74d         Normal    ApplyJob                            helmchart/traefik-crd                                          Applying HelmChart using Job kube-system/helm-install-traefik-crd
kube-system            74d         Normal    ApplyJob                            helmchart/traefik                                              Applying HelmChart using Job kube-system/helm-install-traefik
kube-system            74d         Normal    Created                             pod/headlamp-666485dd85-hpxln                                  Created container: headlamp
kube-system            74d         Normal    Started                             pod/headlamp-666485dd85-hpxln                                  Started container headlamp
default                74d         Normal    NodeReady                           node/debianmaster                                              Node debianmaster status is now: NodeReady
monitoring             74d         Warning   NodeNotReady                        pod/loki-promtail-5dr6s                                        Node is not ready
kube-system            74d         Warning   Unhealthy                           pod/headlamp-666485dd85-hpxln                                  Readiness probe failed: Get "http://10.42.2.135:4466/": dial tcp 10.42.2.135:4466: connect: connection refused
